Data (bytes),Latency (ns),Troughput (bps)
1,5792616,1381.07
100,6551430,122111
200,6859796,233243
300,8743463,274491
400,8585506,372721
500,7189078,556400
600,7276019,659701
700,6722453,833029
800,6492358,985774
900,6498229,1.10799e+06
1000,7254694,1.10273e+06
1024,7572208,1.08185e+06
2048,12469012,1.31398e+06
3072,15428099,1.59294e+06
4096,8254576,3.96968e+06
5120,10246160,3.9976e+06
6144,26356699,1.86488e+06
7168,11720043,4.89281e+06
8192,13109251,4.99922e+06
9216,17349724,4.24952e+06
10240,13174109,6.21826e+06
11264,15877455,5.67547e+06
12288,20727287,4.74273e+06
13312,18011375,5.91271e+06
14336,18626465,6.15726e+06
15360,22435837,5.47695e+06
16384,50523767,2.59426e+06
17408,24842715,5.60583e+06
18432,62427092,2.36205e+06
19456,38408416,4.05245e+06
20480,30609176,5.35264e+06
21504,25760929,6.67802e+06
22528,35141957,5.12846e+06
23552,23234502,8.10932e+06
24576,35151365,5.59318e+06
25600,36189636,5.65908e+06
26624,33578274,6.34315e+06
27648,40047620,5.52302e+06
28672,31245446,7.3411e+06
29696,49187912,4.8298e+06
30720,31003257,7.92691e+06
31744,45573246,5.57239e+06
32768,52629794,4.9809e+06
