Data (bytes),Latency (ns),Troughput (bps)
1,1036656,7717.12
100,1380244,579608
200,1753122,912658
300,1910905,1.25595e+06
400,1947275,1.64332e+06
500,1976578,2.0237e+06
600,2013287,2.38416e+06
700,2052089,2.72893e+06
800,2118974,3.02033e+06
900,2169861,3.31818e+06
1000,2233625,3.58162e+06
1024,2232135,3.67003e+06
2048,2123809,7.71444e+06
3072,1081919,2.27152e+07
4096,875204,3.74404e+07
5120,774424,5.28909e+07
6144,824542,5.96113e+07
7168,917198,6.25209e+07
8192,937298,6.99201e+07
9216,1015976,7.25686e+07
10240,1110988,7.37362e+07
11264,1191442,7.56327e+07
12288,1270062,7.74009e+07
13312,1361475,7.8221e+07
14336,1441981,7.9535e+07
15360,1537714,7.99108e+07
16384,1634354,8.0198e+07
17408,1714188,8.1242e+07
18432,1804691,8.17071e+07
19456,1891615,8.22831e+07
20480,1973861,8.30048e+07
21504,2063569,8.33662e+07
22528,2149890,8.38294e+07
23552,2236026,8.42638e+07
24576,2325745,8.45355e+07
25600,2412948,8.48754e+07
26624,2499528,8.52129e+07
27648,2588271,8.54563e+07
28672,2667824,8.59787e+07
29696,2768526,8.58103e+07
30720,2845424,8.63703e+07
31744,2936260,8.64883e+07
32768,3028606,8.6556e+07
