Data (bytes),Latency (ns),Troughput (bps)
1,291400,27453.7
100,291510,2.74433e+06
200,293309,5.455e+06
300,295609,8.11883e+06
400,292388,1.09444e+07
500,292560,1.36724e+07
600,295185,1.6261e+07
700,292236,1.91626e+07
800,294619,2.1723e+07
900,310504,2.31881e+07
1000,321564,2.48784e+07
1024,294373,2.78286e+07
2048,307221,5.33297e+07
3072,315546,7.7884e+07
4096,325038,1.00813e+08
5120,332094,1.23339e+08
6144,339273,1.44874e+08
7168,345408,1.66018e+08
8192,352752,1.85785e+08
9216,359125,2.05299e+08
10240,363417,2.25416e+08
11264,371475,2.42579e+08
12288,375841,2.61557e+08
13312,386828,2.75306e+08
14336,392079,2.92512e+08
15360,394025,3.11858e+08
16384,402224,3.25868e+08
17408,404485,3.443e+08
18432,416954,3.53651e+08
19456,427966,3.63692e+08
20480,431113,3.8004e+08
21504,440716,3.90347e+08
22528,448404,4.01923e+08
23552,456951,4.12333e+08
24576,469400,4.1885e+08
25600,473875,4.32181e+08
26624,493617,4.31492e+08
27648,503919,4.38928e+08
28672,495915,4.62531e+08
29696,513695,4.62469e+08
30720,515273,4.76951e+08
31744,540635,4.69729e+08
32768,554296,4.72931e+08
